CLUSTER,APOGEE_ID,C_O,sigma_CO,C_FE,O_FE,FE_H,FE_H_ERR,SNR,TEFF,LOGG,VHELIO_AVG,RA,DEC,age_gyr,logage,MG_FE,SI_FE,AL_FE,RV_PROB,FEH_PROB,PM_PROB
ASCC 16,2M05270003+0239480,0.3473228407458022,0.022002018772408618,-0.12696,0.071879,-0.10542,0.009550565,154.1448,4772.007,2.55091,44.78546,81.750145,2.663347,0.013489632380568446,7.130000114440918,0.0356,0.0411916,0.03487799,0.0,0.98,0.64
ASCC 16,2M05271665+0216512,0.6051249286619884,0.021979507853604127,-0.0132304,-0.0555031,-0.062554,0.01029529,153.0831,3716.474,4.517264,19.68114,81.819396,2.280892,0.013489632380568446,7.130000114440918,-0.06469649,-0.028775,-9999.0,0.85,0.68,2.0
ASCC 16,2M05272623+0151335,0.41380462889016384,0.015227239301429343,-0.102741,0.020036,-0.083384,0.007641578,243.7506,4509.557,2.034824,21.28424,81.859322,1.859319,0.013489632380568446,7.130000114440918,0.022376,0.0123036,-0.011091,0.82,0.94,0.23
ASCC 16,2M05273137+0116459,0.6836355624304532,0.023462569315953346,-0.005892798,-0.1011451,-0.12744,0.008633521,217.1878,4059.479,4.431944,20.83642,81.880735,1.279431,0.013489632380568446,7.130000114440918,-0.05853149,-0.06034699,-9999.0,0.96,0.75,0.69
ASCC 16,2M05274063+0103572,0.615913243450929,0.02123557574078004,-0.009188902,-0.0591361,-0.042236,0.009585179,155.4109,3787.686,4.567179,19.52798,81.919321,1.065908,0.013489632380568446,7.130000114440918,-0.0515575,-0.004623003,-9999.0,0.79,0.39,2.0
ASCC 16,2M05280994+0210263,0.4389625240967942,0.025702629240576744,-0.149725,-0.0525801,-0.095161,0.0103991,110.3179,4570.749,4.502336,21.67941,82.041435,2.173985,0.013489632380568446,7.130000114440918,-0.0635265,0.003908001,-0.017293,0.65,1.0,2.0
ASCC 16,2M05281531+0127339,0.4831271505531874,0.11088038220617874,-0.038316,0.0171949,-0.095022,0.005649938,235.8518,6014.169,3.988711,27.14417,82.06382,1.459429,0.013489632380568446,7.130000114440918,-0.1245895,0.03002799,-0.053832,0.0,1.0,0.54
ASCC 16,2M05285915+0204488,0.32963357035539653,0.0180558326693074,-0.17097,0.05057091,-0.1594,0.007685062,185.5845,4815.315,4.360246,21.21017,82.246489,2.080245,0.013489632380568446,7.130000114440918,-0.0373515,0.049571,0.07367501,0.85,0.3,0.8
ASCC 16,2M05290407+0131127,0.3483849170657283,0.01794069145988154,-0.169348,0.028165,-0.061529,0.00758317,181.5431,4817.082,2.568017,19.45326,82.266995,1.520199,0.013489632380568446,7.130000114440918,0.028094,0.0242106,-0.002333004,0.76,0.67,0.1
ASCC 16,2M05292206+0206055,0.5298140175429253,0.0331092906296639,-0.074627,-0.0591781,-0.1317,0.01015594,120.0397,4662.422,4.349251,19.91707,82.341922,2.101536,0.013489632380568446,7.130000114440918,-0.1168415,-0.07737701,-0.01637401,0.93,0.69,0.2
ASCC 16,2M05292856+0136448,0.635453604424263,0.024436042183995605,-0.005226597,-0.0687381,-0.096862,0.01029516,133.831,3903.765,4.562963,19.0107,82.369027,1.612472,0.013489632380568446,7.130000114440918,-0.08396949,-0.052845,-9999.0,0.56,1.0,0.49
ASCC 16,2M05294087+0106592,0.6166691810321376,0.020642916105563534,-0.0091732,-0.0596531,-0.099845,0.009184504,180.5888,3826.929,4.562777,19.64145,82.420292,1.116455,0.013489632380568446,7.130000114440918,-0.0493065,-0.027996,-9999.0,0.84,1.0,0.69
ASCC 18,2M05261736+0054216,0.5941932890121959,0.031958052559018575,-0.004399702,-0.0387551,-0.1862,0.01119204,177.2023,4372.779,4.172721,21.01335,81.572335,0.906023,,,-0.06820151,0.01498799,-9999.0,1.0,1.0,0.02
ASCC 18,2M05263008+0110266,0.394837464575941,0.022222504957782396,-0.064577,0.07857699,-0.18573,0.008737653,180.1949,4733.194,2.443562,21.13034,81.625348,1.17408,,,0.08934599,0.05669259,0.04996519,0.95,1.0,-0.0
