ra,dec,C_O,sigma_CO,fe_h,c_fe,o_fe,mg_fe,si_fe,al_fe,rv_gaia_dr3,age,cluster_name,ra_cl,dec_cl,pmra_cl,pmdec_cl,dist_cl,sep_deg
153.49767,-54.825695,0.3564403524676073,0.08345265347806864,0.14564174,-0.06555578,0.1220297,-0.10609494,0.010572232,0.12337467,1.6017348,0.89514023,ASCC_58,153.657,-55.001,-13.276,2.786,0.491,0.1978
153.37492,-54.574165,0.4272186452035713,0.08726303825213917,-0.12343135,-0.01530572,0.093616426,-0.021416001,0.05479401,0.042958394,10.760396,0.51618713,ASCC_58,153.657,-55.001,-13.276,2.786,0.491,0.4568
153.21208,-54.72878,0.32791451763522894,0.08453864366331097,-0.20001963,-0.00871774,0.21509396,0.07985657,0.093074575,0.029289737,-7.5483103,2.7706666,ASCC_58,153.657,-55.001,-13.276,2.786,0.491,0.3737
152.99316,-54.76925,0.5470650553966306,0.0969793917866048,-0.0058100596,0.07098393,0.0725173,-0.000602141,0.04938588,0.007038668,28.26005,5.0641823,ASCC_58,153.657,-55.001,-13.276,2.786,0.491,0.4467
153.12604,-55.361305,0.721044564708343,0.1979142771009316,0.07928795,-0.016010877,-0.13440064,0.04061354,0.103612036,0.14825276,0.2626506,6.151132,ASCC_58,153.657,-55.001,-13.276,2.786,0.491,0.4709
153.21141,-55.364166,0.4890118879907892,0.12914150440547198,0.026915386,-0.0042959074,0.04595702,-0.03715687,0.060811106,0.068237275,16.256632,1.6459055,ASCC_58,153.657,-55.001,-13.276,2.786,0.491,0.4434
153.05441,-55.157417,0.6292286207029595,0.23774573720691308,0.14010459,0.030465025,-0.028771099,0.029018313,0.11582212,0.10379332,-22.30623,5.613033,ASCC_58,153.657,-55.001,-13.276,2.786,0.491,0.3788
153.26254,-55.152473,0.6703630935495218,0.1333433612649231,0.12089756,0.048375614,-0.038362138,-0.017628081,0.09971605,0.031593144,25.419079,6.4829006,ASCC_58,153.657,-55.001,-13.276,2.786,0.491,0.2719
153.39513,-55.2675,0.4909099621747557,0.10149239921946836,0.15233925,-0.004476022,0.044094477,-0.0358212,-0.017381009,0.08582741,-5.9911737,2.112795,ASCC_58,153.657,-55.001,-13.276,2.786,0.491,0.3057
153.5552,-55.032,0.43857408244712637,0.09951041101281784,0.09209412,-0.056397967,0.041131414,-0.03802531,0.03006478,0.108287364,3.253344,2.3662279,ASCC_58,153.657,-55.001,-13.276,2.786,0.491,0.0661
153.91817,-55.104332,0.24848023890875118,0.047959589007491046,-0.12312343,-0.0047190585,0.33956143,0.016007386,0.1399395,-0.022907302,-10.703355,6.5385747,ASCC_58,153.657,-55.001,-13.276,2.786,0.491,0.1818
167.87755,-55.7785,0.6685639521412282,0.12179228265282376,0.11025901,0.028647576,-0.056923036,-0.01005394,0.08890654,0.039807767,20.566908,7.919393,ASCC_66,168.367,-55.437,-11.331,2.969,0.971,0.4394
167.79283,-55.77811,0.46694007039668106,0.10400444079958744,-0.1216282,0.1523781,0.2226893,0.052523337,0.06057736,0.111160964,38.66084,4.614039,ASCC_66,168.367,-55.437,-11.331,2.969,0.971,0.4707
167.83672,-55.69639,0.4081805292462075,0.06930252989571378,-0.39946923,0.07119645,0.19991651,0.22329006,0.20886932,0.12215349,-42.650043,4.6223497,ASCC_66,168.367,-55.437,-11.331,2.969,0.971,0.3965
167.83058,-55.671223,0.19982652565580736,0.05971974371953314,-0.09781783,0.032435723,0.47135493,-0.0127719715,0.03582891,0.06585193,-26.505259,3.5372777,ASCC_66,168.367,-55.437,-11.331,2.969,0.971,0.3833
167.77429,-55.166668,0.32597003450466056,0.054070996803969096,-0.268876,0.099154234,0.3255489,0.10421076,0.15951708,0.06960705,-14.387249,6.2436523,ASCC_66,168.367,-55.437,-11.331,2.969,0.971,0.4323
168.07666,-55.846973,0.5920750815205422,0.10595007800858285,0.0019222274,-0.013862146,-0.046666585,-0.083003886,0.030176345,0.04856871,0.4934833,0.6469405,ASCC_66,168.367,-55.437,-11.331,2.969,0.971,0.4415
168.77405,-55.19025,0.24319174470244073,0.0647065239283924,-0.63916534,-0.030517256,0.32310626,0.25185695,0.32360518,0.017900005,111.63063,8.078478,ASCC_66,168.367,-55.437,-11.331,2.969,0.971,0.3384
168.70792,-55.30347,0.4714214501245899,0.13740098900752223,-0.25474152,0.089953855,0.15611686,0.100879855,0.035002258,0.14577979,2.1376233,6.6659527,ASCC_66,168.367,-55.437,-11.331,2.969,0.971,0.2353
