i,j,d_chem,d_act,d_age,d_total,name_i,name_j,hab_i,hab_j
8,28,2.7689273306761693,2.610474132285249,0.04165049104907337,5.421051954010491,CD-60  1593,HD 178528B,0.9934140821873566,0.9883660877914092
19,29,2.816012794028394,2.5699767633667783,0.0391968829532755,5.4251864403484475,TYC 5248-636-1,HD 180950,0.9902150085743344,0.9881504576735348
13,17,2.6555636499862065,1.534425443795396,1.2385357519717664,5.428524845753369,TYC 8351-1776-1,HD 183193,0.991384927374343,0.9910268582282452
17,19,3.544542761873709,0.6486248057855419,1.2434961585507225,5.436663726209973,HD 183193,TYC 5248-636-1,0.9910268582282452,0.9902150085743344
1,26,2.2692560298043993,1.245738489898211,1.932720273769171,5.447714793471782,CD-30  7056,TYC 5606-566-1,0.9953865433639338,0.9889979972384932
0,1,2.8917807900487484,1.7567089487190939,0.8097686035897604,5.4582583423576025,BD-03  3321,CD-30  7056,0.9969227583789892,0.9953865433639338
5,16,2.7515174543042593,1.384254838327606,1.3229082786007622,5.458680571232628,TYC 6897-1616-1,HD 122625,0.9939321090920874,0.9910369520989836
5,20,2.8328172170969745,0.46527420604858255,2.165578279842064,5.463669702987621,TYC 6897-1616-1,TYC 8351-2149-1,0.9939321090920874,0.9902110765948476
3,7,3.542645052494699,0.9465953075408272,0.9900879657291497,5.479328325764676,TYC 1071-934-1,TYC 7915-779-1,0.9944493696993356,0.9934194074914954
9,16,3.1661333942531753,0.9207776921067177,1.4068706751066011,5.4937817614664946,TYC 9263-701-1,HD 122625,0.992456910945104,0.9910369520989836
1,29,1.7351878704110633,2.324799808631765,1.4555156215022387,5.515503300545067,CD-30  7056,HD 180950,0.9953865433639338,0.9881504576735348
6,15,3.69477278215344,0.9552581385111111,0.8660139727904055,5.516044893454956,HD 271308,BD-08  6091,0.9935994695920594,0.9911042011418684
10,19,3.702805515632115,1.5318621741834704,0.2885293220475119,5.523197011863097,HD 217340,TYC 5248-636-1,0.9923914331934592,0.9902150085743344
1,28,2.383929985860326,2.9804450417559076,0.17008295268313,5.534457980299363,CD-30  7056,HD 178528B,0.9953865433639338,0.9883660877914092
1,25,2.3802491088456086,1.952566313179809,1.2155000428948721,5.5483154649202895,CD-30  7056,TYC 9271-1853-1,0.9953865433639338,0.9893123538849355
9,11,4.211843110651057,1.3025371291081136,0.04354358529017277,5.557923825049343,TYC 9263-701-1,CPD-63   349,0.992456910945104,0.9921674773952948
9,26,3.4272955382780275,1.5808419522956412,0.5507297247169783,5.558867215290647,TYC 9263-701-1,TYC 5606-566-1,0.992456910945104,0.9889979972384932
0,22,2.216749572344735,1.0234417613040832,2.322463569139818,5.562654902788636,BD-03  3321,HD  13684A,0.9969227583789892,0.9899241898742775
18,31,2.940128676329813,1.9675781522979026,0.6621700335593713,5.569876862187087,BD-06  6123,BD+20  2167,0.9903268199569376,0.9875967986160714
4,27,2.675891248546765,1.7197158961082708,1.1861195265206894,5.5817266711757245,BD-02  3362,TYC  105-2108-1,0.9942908938756364,0.9886490741227948
5,8,2.467314228111639,1.6118011633535292,1.509761596278557,5.588876987743725,TYC 6897-1616-1,CD-60  1593,0.9939321090920874,0.9934140821873566
16,21,2.2747142909150324,1.1799365767023038,2.1360410130081564,5.590691880625492,HD 122625,TYC 5232-208-1,0.9910369520989836,0.9901450005093488
6,14,3.3817127462292547,1.5377207145171026,0.6797318876362767,5.599165348382634,HD 271308,HD 271200,0.9935994695920594,0.9913680789520726
21,29,3.081370334809163,1.8636298991578348,0.6556452654515095,5.600645499418507,TYC 5232-208-1,HD 180950,0.9901450005093488,0.9881504576735348
5,12,2.669415905246317,2.737220843472298,0.20912364931715274,5.615760398035768,TYC 6897-1616-1,TYC 5606-1113-1,0.9939321090920874,0.9914165792401612
6,10,3.6500349692672938,0.5009075100165427,1.4740305506108697,5.624973029894706,HD 271308,HD 217340,0.9935994695920594,0.9923914331934592
5,15,3.958573018116402,1.1545097849296364,0.5161716076821129,5.6292544107281515,TYC 6897-1616-1,BD-08  6091,0.9939321090920874,0.9911042011418684
9,21,3.910247266512558,0.9905894320209297,0.7291703379015554,5.630007036435043,TYC 9263-701-1,TYC 5232-208-1,0.992456910945104,0.9901450005093488
4,28,2.7618457630009914,2.5441900486589417,0.3264403676820673,5.632476179342001,BD-02  3362,HD 178528B,0.9942908938756364,0.9883660877914092
23,26,2.849562269022419,2.666342235768619,0.14672624767765718,5.662630752468695,HD  13767,TYC 5606-566-1,0.9898647127489534,0.9889979972384932
16,26,2.3060231579168007,1.4058755831335348,1.9576003998235794,5.669499140873915,HD 122625,TYC 5606-566-1,0.9910369520989836,0.9889979972384932
16,20,0.820823273979758,1.3634701911852452,3.488486558442826,5.67278002360783,HD 122625,TYC 8351-2149-1,0.9910369520989836,0.9902110765948476
15,22,3.0376807935209196,1.3170907246916541,1.318032412501112,5.672803930713686,BD-08  6091,HD  13684A,0.9911042011418684,0.9899241898742775
8,13,2.431568038823942,1.5464325679563482,1.7014855416087613,5.679486148389051,CD-60  1593,TYC 8351-1776-1,0.9934140821873566,0.991384927374343
0,12,2.9101386572132006,2.073873597139132,0.697383198273746,5.681395452626079,BD-03  3321,TYC 5606-1113-1,0.9969227583789892,0.9914165792401612
0,28,2.3217359253995227,2.383653863947072,0.9798515562728904,5.685241345619485,BD-03  3321,HD 178528B,0.9969227583789892,0.9883660877914092
20,25,1.3392346048212576,2.109304527497159,2.248106389493546,5.696645521811963,TYC 8351-2149-1,TYC 9271-1853-1,0.9902110765948476,0.9893123538849355
6,25,3.393253692140169,0.8604738786859538,1.4647136901239999,5.718441260950122,HD 271308,TYC 9271-1853-1,0.9935994695920594,0.9893123538849355
2,5,2.7075635736770463,1.999234546663884,1.022470757103914,5.729268877444844,TYC 7413-1369-1,TYC 6897-1616-1,0.9948926865069556,0.9939321090920874
5,23,2.419225369630536,2.5309357911712094,0.7814183689004746,5.73157952970222,TYC 6897-1616-1,HD  13767,0.9939321090920874,0.9898647127489534
3,5,4.153486655652262,1.3085103433833645,0.2717193060368144,5.733716305072441,TYC 1071-934-1,TYC 6897-1616-1,0.9944493696993356,0.9939321090920874
8,15,2.4064613803629786,1.304328189122452,2.02593320396067,5.7367227734461,CD-60  1593,BD-08  6091,0.9934140821873566,0.9911042011418684
11,17,3.2723034216784606,1.2945358153426805,1.1743177884375737,5.741157025458715,CPD-63   349,HD 183193,0.9921674773952948,0.9910268582282452
1,2,1.697790573551459,1.7306548397326935,2.3204989096502677,5.74894432293442,CD-30  7056,TYC 7413-1369-1,0.9953865433639338,0.9948926865069556
10,20,2.415459304071274,1.082930573812489,2.2574232499804157,5.7558131278641795,HD 217340,TYC 8351-2149-1,0.9923914331934592,0.9902110765948476
6,26,3.839842124247642,1.1698330565374184,0.747493459249701,5.757168640034761,HD 271308,TYC 5606-566-1,0.9935994695920594,0.9889979972384932
5,25,3.502094674415372,2.179466039384185,0.08252810965148161,5.764088823451039,TYC 6897-1616-1,TYC 9271-1853-1,0.9939321090920874,0.9893123538849355
8,26,2.2583739264327685,1.3676236833123538,2.1444537175013743,5.770451327246496,CD-60  1593,TYC 5606-566-1,0.9934140821873566,0.9889979972384932
10,14,3.0039051803277346,1.97864578234373,0.7942986629745932,5.776849625646057,HD 217340,HD 271200,0.9923914331934592,0.9913680789520726
3,19,3.973218466451994,1.7325653373377727,0.07503495412765387,5.78081875791742,TYC 1071-934-1,TYC 5248-636-1,0.9944493696993356,0.9902150085743344
5,6,3.065095463025492,1.3525295675267417,1.3821855804725183,5.799810611024752,TYC 6897-1616-1,HD 271308,0.9939321090920874,0.9935994695920594
0,16,3.2842678893145285,1.690874991763927,0.8346487296441689,5.809791610722624,BD-03  3321,HD 122625,0.9969227583789892,0.9910369520989836
8,21,2.7920844113308503,0.7044731909956381,2.3228943306859513,5.81945193301244,CD-60  1593,TYC 5232-208-1,0.9934140821873566,0.9901450005093488
0,11,3.108448890325379,2.095538348824685,0.6157655307526049,5.819752769902669,BD-03  3321,CPD-63   349,0.9969227583789892,0.9921674773952948
8,29,2.4453145319972163,1.721816064105879,1.667249065234442,5.834379661337537,CD-60  1593,HD 180950,0.9934140821873566,0.9881504576735348
19,25,2.9658613737763506,2.600049180478536,0.27921246156064206,5.8451230158155285,TYC 5248-636-1,TYC 9271-1853-1,0.9902150085743344,0.9893123538849355
10,22,2.833125154603945,1.097150367409081,1.9260489903215763,5.856324512334602,HD 217340,HD  13684A,0.9923914331934592,0.9899241898742775
15,30,3.0876018488377075,1.2212310341716919,1.5547663053912553,5.863599188400655,BD-08  6091,TYC 6883-1588-1,0.9911042011418684,0.988093216107945
