cluster,N,C_O_mean,C_O_std,intrinsic_scatter,feh_mean,feh_std,rv_mean,rv_std,age_gyr,age_bin,R_gal,Z_gal,abs_Z
UPK_562,4,0.3569,0.1086,0.0944,-0.194,0.22,26.89,17.18,0.097723670593248,<0.1,7.895883390864961,0.061676173533362424,0.061676173533362424
UBC_232,39,0.3592,0.1087,0.0577,-0.201,0.186,65.12,28.64,0.3801893295314407,0.3-0.5,10.166690058195114,0.20452364538852694,0.20452364538852694
Hogg_10,28,0.3965,0.1092,0.0642,-0.063,0.199,-1.66,21.47,,,7.597875365563435,0.022455862563971547,0.022455862563971547
Collinder_269,15,0.3418,0.1092,0.0,-0.083,0.248,-17.79,27.26,0.4168692736211187,0.3-0.5,7.2246719149504655,-0.09055095394215944,0.09055095394215944
ESO_130_13,6,0.1908,0.1092,0.0,-0.214,0.345,-7.01,40.37,0.0338844319835388,<0.1,7.214734577236586,0.15453952633553233,0.15453952633553233
NGC_3960,25,0.4356,0.1093,0.0,-0.083,0.236,-0.21,25.0,0.8709627484287175,0.5-1,7.448057942210283,0.2872139466388804,0.2872139466388804
UBC_546,31,0.403,0.1093,0.0585,0.063,0.165,-20.37,29.87,0.3388439477987164,0.3-0.5,6.294630107444423,-0.09207104114458202,0.09207104114458202
NGC_2671,17,0.2763,0.1093,0.0499,-0.084,0.204,33.48,22.2,0.3311314705081584,0.3-0.5,8.444540206761097,0.04127761878033477,0.04127761878033477
Ruprecht_144,7,0.481,0.1096,0.0,0.081,0.092,2.68,31.58,0.0301995185303324,<0.1,6.469326649544175,-0.02505291037901945,0.02505291037901945
UPK_567,18,0.3892,0.1096,0.0,-0.08,0.273,7.42,24.72,0.3388439477987164,0.3-0.5,7.912034171070142,-0.06580202604826436,0.06580202604826436
NGC_2506,31,0.3251,0.11,0.0409,-0.205,0.203,51.33,45.64,1.6595879278457617,1-2,10.588532430327446,0.6173230965017814,0.6173230965017814
UBC_282,19,0.3837,0.11,0.0218,0.003,0.152,-15.69,21.07,0.1258926517592568,0.1-0.3,7.261038984487333,0.11931791924748943,0.11931791924748943
Loden_46,25,0.4196,0.1102,0.0522,-0.086,0.214,12.72,19.98,0.8317639172213713,0.5-1,7.952036563181907,0.06496288435323257,0.06496288435323257
UBC_475,30,0.319,0.1103,0.0,-0.167,0.22,52.41,28.69,0.0398107083132505,<0.1,8.964690041613098,0.04444666973415885,0.04444666973415885
UBC_649,26,0.3822,0.1106,0.0,-0.213,0.184,36.84,36.11,,,8.57100826596968,0.6128750278913772,0.6128750278913772
Trumpler_26,37,0.4969,0.1106,0.0646,0.054,0.159,-14.31,30.59,0.2511884225153641,0.1-0.3,6.520486338490659,0.09666039281253187,0.09666039281253187
BH_99,19,0.3952,0.1107,0.0739,-0.06,0.148,8.86,17.86,0.0954992627963111,<0.1,8.005300738246714,0.01583042180130333,0.01583042180130333
UBC_494,9,0.3983,0.1108,0.0499,0.028,0.167,23.4,20.1,0.6918312139914402,0.5-1,8.622463232992525,-0.28235011549082406,0.28235011549082406
Juchert_10,16,0.4778,0.1109,0.055,0.103,0.13,-17.04,24.03,,,6.643069083478514,-0.043615214147054646,0.043615214147054646
BH_118,19,0.4248,0.1109,0.0,-0.037,0.255,2.25,23.98,1.9054595463785964,1-2,14.501967317865098,0.6412707385904467,0.6412707385904467
FSR_1402,34,0.3118,0.1109,0.0724,-0.163,0.216,51.93,41.01,3.0199485372543653,2-5,10.221510096962346,0.5827310510752316,0.5827310510752316
UBC_483,18,0.4569,0.111,0.0944,-0.027,0.155,27.4,20.34,,,8.42932008107,-0.030133051012984285,0.030133051012984285
NGC_3572,27,0.3924,0.1111,0.0702,-0.067,0.206,-1.06,21.38,0.0047862990313698,<0.1,7.5986151818011125,0.026195860255865917,0.026195860255865917
UPK_585,77,0.403,0.1112,0.0,-0.141,0.237,2.82,34.62,0.0776246877988414,<0.1,7.712903702593492,-0.151741829729237,0.151741829729237
Berkeley_24,6,0.349,0.1112,0.0712,-0.245,0.168,18.04,36.75,1.4125363038976315,1-2,13.96187651917975,-0.3489738388643904,0.3489738388643904
Ruprecht_164,15,0.4442,0.1115,0.0,0.018,0.208,5.62,28.73,1.698241862446276,1-2,7.716927916191834,0.06780424750999099,0.06780424750999099
Teutsch_66,18,0.4134,0.1116,0.0,-0.044,0.128,15.09,20.45,0.2951211041237279,0.1-0.3,9.249508640466921,-0.02390200732884599,0.02390200732884599
UBC_299,16,0.4816,0.1116,0.0,0.115,0.127,-24.87,29.31,0.2951211041237279,0.1-0.3,6.295916081179939,-0.08605347787744748,0.08605347787744748
Gulliver_32,9,0.4268,0.1118,0.0,-0.121,0.108,30.75,42.16,1.288248533293805,1-2,9.728294512671926,0.00832998473043044,0.00832998473043044
